,Year-month,Canon mirrorless,Nikon mirrorless,Sony mirrorless
0,2006-01-01,0.0,0.0,0.0
1,2006-02-01,0.0,0.0,0.0
2,2006-03-01,0.0,0.0,0.0
3,2006-04-01,0.0,0.0,0.0
4,2006-05-01,0.0,0.0,0.0
5,2006-06-01,0.0,0.0,0.0
6,2006-07-01,0.0,0.0,0.0
7,2006-08-01,0.0,0.0,0.0
8,2006-09-01,0.0,0.0,0.0
9,2006-10-01,0.0,0.0,0.0
10,2006-11-01,0.0,0.0,0.0
11,2006-12-01,0.0,0.0,0.0
12,2007-01-01,0.0,0.0,0.0
13,2007-02-01,0.0,0.0,0.0
14,2007-03-01,0.0,0.0,0.0
15,2007-04-01,0.0,0.0,0.0
16,2007-05-01,0.0,0.0,0.0
17,2007-06-01,0.0,0.0,0.0
18,2007-07-01,0.0,0.0,0.0
19,2007-08-01,0.0,0.0,0.0
20,2007-09-01,0.0,0.0,0.0
21,2007-10-01,0.0,0.0,0.0
22,2007-11-01,0.0,0.0,0.0
23,2007-12-01,0.0,0.0,0.0
24,2008-01-01,0.0,0.0,0.0
25,2008-02-01,0.0,0.0,0.0
26,2008-03-01,0.0,0.0,0.0
27,2008-04-01,0.0,0.0,0.0
28,2008-05-01,0.0,0.0,0.0
29,2008-06-01,0.0,0.0,0.0
30,2008-07-01,0.0,0.0,0.0
31,2008-08-01,0.0,0.0,0.0
32,2008-09-01,0.0,0.0,0.0
33,2008-10-01,0.0,0.0,0.0
34,2008-11-01,0.0,0.0,0.0
35,2008-12-01,0.0,0.0,0.0
36,2009-01-01,0.0,0.0,0.0
37,2009-02-01,0.0,0.0,0.0
38,2009-03-01,0.0,0.0,0.0
39,2009-04-01,0.0,0.0,0.0
40,2009-05-01,0.0,0.0,0.0
41,2009-06-01,0.0,0.0,0.0
42,2009-07-01,0.0,0.0,0.0
43,2009-08-01,0.0,0.0,0.0
44,2009-09-01,0.0,0.0,0.0
45,2009-10-01,0.0,0.0,0.0
46,2009-11-01,0.0,0.0,0.0
47,2009-12-01,0.0,0.0,0.0
48,2010-01-01,0.0,0.0,0.0
49,2010-02-01,0.0,0.0,0.8
50,2010-03-01,0.0,0.0,0.4
51,2010-04-01,0.0,0.0,0.8
52,2010-05-01,0.0,0.0,0.4
53,2010-06-01,0.0,0.2,0.2
54,2010-07-01,0.056,0.628,0.116
55,2010-08-01,0.0,0.2,0.2
56,2010-09-01,0.112,0.432,0.256
57,2010-10-01,0.6,0.4,0.2
58,2010-11-01,0.732,0.468,0.4
59,2010-12-01,0.512,0.172,0.116
60,2011-01-01,0.832,2.496,1.072
61,2011-02-01,0.112,0.972,0.116
62,2011-03-01,0.664,1.904,0.232
63,2011-04-01,0.372,1.716,0.712
64,2011-05-01,0.412,0.492,0.296
65,2011-06-01,1.348,0.42,0.232
66,2011-07-01,0.468,0.332,0.4
67,2011-08-01,1.22,3.536,0.444
68,2011-09-01,0.74,2.712,0.548
69,2011-10-01,1.42,1.724,0.856
70,2011-11-01,1.148,1.472,0.98
71,2011-12-01,0.736,0.884,1.58
72,2012-01-01,3.056,4.732,1.812
73,2012-02-01,1.6,1.872,0.128
74,2012-03-01,1.928,2.308,0.964
75,2012-04-01,1.332,2.224,1.244
76,2012-05-01,1.728,1.468,0.804
77,2012-06-01,2.492,0.596,1.312
78,2012-07-01,5.2,0.732,0.468
79,2012-08-01,2.436,1.58,1.184
80,2012-09-01,2.336,0.856,2.008
81,2012-10-01,2.24,2.196,2.364
82,2012-11-01,1.32,1.068,1.212
83,2012-12-01,2.068,1.076,1.656
84,2013-01-01,1.476,1.396,1.928
85,2013-02-01,1.928,1.052,1.02
86,2013-03-01,2.436,2.752,1.612
87,2013-04-01,2.16,0.988,1.252
88,2013-05-01,1.4,2.032,1.768
89,2013-06-01,2.252,1.66,1.288
90,2013-07-01,1.652,2.172,1.376
91,2013-08-01,2.104,0.892,2.204
92,2013-09-01,1.856,0.972,1.572
93,2013-10-01,2.088,1.664,1.848
94,2013-11-01,1.324,1.38,2.896
95,2013-12-01,2.34,1.672,2.388
96,2014-01-01,1.512,1.68,2.008
97,2014-02-01,1.024,2.012,2.164
98,2014-03-01,1.78,1.832,2.788
99,2014-04-01,1.464,1.46,2.276
100,2014-05-01,1.728,2.312,3.16
101,2014-06-01,2.216,1.056,2.728
102,2014-07-01,2.396,1.004,3.4
103,2014-08-01,1.804,1.484,2.712
104,2014-09-01,1.18,1.772,3.848
105,2014-10-01,2.076,1.876,2.448
106,2014-11-01,1.196,1.724,3.48
107,2014-12-01,1.96,1.492,2.948
108,2015-01-01,3.24,2.624,4.536
109,2015-02-01,3.132,2.716,4.552
110,2015-03-01,3.172,1.872,4.156
111,2015-04-01,2.572,3.068,4.36
112,2015-05-01,1.9,0.952,2.348
113,2015-06-01,2.28,1.204,3.716
114,2015-07-01,4.036,2.592,4.172
115,2015-08-01,3.5,2.464,5.636
116,2015-09-01,2.856,3.592,5.952
117,2015-10-01,2.704,2.764,4.932
118,2015-11-01,2.68,2.768,6.152
